t_s,hb
6.381667,-0.018408
6.393333,0.017369
6.405,-0.008208
6.416667,-0.002488
6.428333,0.052902
6.44,0.053444
6.451666,-0.051615
6.463333,0.045725
6.475,-0.030849
6.486667,0.024739
6.498333,-0.060311
6.51,-0.170408
6.521667,0.132789
6.533333,-0.096805
6.545,0.078504
6.556666,-0.067348
6.568333,0.114605
6.58,-0.00984
6.591667,-0.006508
6.603333,0.014013
6.615,-0.00749
6.626667,-0.003149
6.638333,0.085211
6.65,0.051123
6.661666,-0.052204
6.673333,0.049827
6.685,-0.033699
6.696667,0.020528
6.708333,0.075382
6.72,0.091394
6.731667,-0.081477
6.743333,0.070509
6.755,-0.047578
6.766666,0.025507
6.778333,0.065701
6.79,0.050552
6.801667,-0.050077
6.813333,0.044606
6.825,-0.027457
6.836667,0.008792
6.848333,0.072097
6.86,0.033834
6.871666,-0.03531
6.883333,0.032201
6.895,-0.018839
6.906667,0.003499
6.918333,0.062665
6.93,0.021088
6.941667,-0.023757
6.953333,0.021064
6.965,-0.01136
6.976666,-0.000408
6.988333,0.044168
7,0.013974
7.011667,-0.01501
7.023333,0.014346
7.035,-0.00454
7.046667,-0.00426
7.058333,0.061003
7.07,0.049788
7.081666,-0.048344
7.093333,0.040082
7.105,-0.024218
7.116667,0.009721
7.128333,0.038969
7.14,0.088118
7.151667,-0.083928
7.163333,0.069652
7.175,-0.041067
7.186666,0.014974
7.198333,0.090017
7.21,0.030396
7.221667,-0.028642
7.233333,0.023529
7.245,-0.01277
7.256667,0.002892
7.268333,0.027491
7.28,0.015064
7.291667,-0.013168
7.303333,0.008581
7.315,0.006165
7.326666,-0.025813
7.338333,0.096088
7.35,-0.039776
7.361667,0.029212
7.373333,-0.022057
7.385,0.021461
7.396667,-0.02324
7.408333,0.048527
7.42,-0.007146
7.431666,0.0016
7.443333,0.000105
7.455,0.003111
7.466667,-0.009224
7.478333,0.03778
7.49,0.002016
7.501667,-0.004926
7.513333,0.004932
7.525,-0.001018
7.536666,-0.003509
7.548333,0.023199
7.56,0.005333
7.571667,-0.006924
7.583333,0.006848
7.595,-0.004113
7.606667,0.001184
7.618333,0.0126
7.63,0.008222
7.641666,-0.009544
7.653333,0.007488
7.665,-0.002263
7.676667,-0.007195
7.688333,0.052965
7.7,0.027305
7.711667,-0.027972
7.723333,0.024878
7.735,-0.012823
7.746666,0.001183
7.758333,0.045273
7.77,0.022207
7.781667,-0.023315
7.793333,0.019894
7.805,-0.009086
7.816667,-0.002365
7.828333,0.043565
7.84,0.006217
7.851666,-0.008036
7.863333,0.007583
7.875,-0.004693
7.886667,0.003934
7.898333,-0.003616
7.91,0.000867
7.921667,-0.000277
7.933333,-0.000574
7.945,0.002595
7.956666,-0.007006
7.968333,0.030497
7.98,0.006522
7.991667,-0.008782
8.003333,0.008054
8.015,-0.003596
8.026667,-0.001437
8.038333,0.018428
8.05,0.003428
8.061666,-0.003941
8.073333,0.003603
8.085,-0.001354
8.096666,-0.000285
8.108334,0.008035
8.12,0.003441
8.131666,-0.002976
8.143333,0.002874
8.155,-0.000584
8.166667,-0.000635
8.178333,0.007383
8.19,0.000586
8.201667,-0.00118
8.213333,0.000639
8.224999,1.3e-05
8.236667,-0.000212
8.248333,-0.004373
8.26,-0.00737
8.271667,0.007107
8.283333,-0.005888
8.295,0.001067
8.306666,0.004502
8.318334,-0.027773
8.33,-0.004738
8.341666,0.005574
8.353333,-0.005726
8.365,0.005322
8.376667,-0.009369
8.388333,0.033592
8.4,0.012777
8.411667,-0.015064
8.423333,0.013646
8.434999,-0.008653
8.446667,0.003904
8.458333,0.008133
8.47,0.006105
8.481667,-0.004851
8.493333,0.003438
8.505,0.000858
8.516666,-0.005354
8.528334,0.026546
8.54,0.008319
8.551666,-0.009524
8.563334,0.009183
8.575,-0.006085
8.586666,0.005364
8.598333,-0.004081
8.61,-6e-06
8.621667,0.00113
8.633333,-0.003032
8.645,0.004469
8.656667,-0.006658
8.668333,0.008499
8.68,-0.009404
8.691667,0.007501
8.703333,-0.005392
8.715,-0.004095
8.726666,0.017476
8.738333,-0.120702
8.75,0.00059
8.761666,0.004668
8.773334,-0.007397
8.785,-0.000447
8.796666,0.008722
8.808333,-0.051929
8.82,-0.001874
8.831667,0.007865
8.843333,-0.009047
8.855,0.00758
8.866667,-0.005534
8.878333,0.002745
8.89,-0.001039
8.901667,0.000514
8.913333,-0.000136
8.925,0.001713
8.936666,-0.00364
8.948333,0.010649
8.96,-0.001224
8.971666,0.000959
8.983334,-0.002065
8.995,0.003807
9.006666,-0.007605
9.018333,0.024964
9.03,0.002331
9.041667,-0.003475
9.053333,0.00308
9.065,0.002116
9.076667,-0.008969
9.088333,0.039169
9.099999,0.004227
9.111667,-0.006428
9.123333,0.005765
9.135,-0.001528
9.146667,-0.002518
9.158333,0.019165
9.17,0.017917
9.181666,-0.017844
9.193334,0.013751
9.205,-0.005487
9.216666,-0.001926
9.228333,0.043979
9.24,0.107871
9.251667,-0.093552
9.263333,0.073352
9.275,-0.043413
9.286667,0.020424
9.298333,0.039233
9.309999,0.017849
9.321667,-0.016939
9.333333,0.010553
9.345,-0.005221
9.356667,0.003884
9.368333,-0.04247
9.38,-0.023053
9.391666,0.025315
9.403334,-0.023436
9.415,0.012159
9.426666,0.002924
9.438334,-0.047758
9.45,0.013872
9.461666,-0.005122
9.473333,-0.000866
9.485,0.006232
9.496667,-0.012596
9.508333,0.031591
9.52,-0.012579
9.531667,0.011912
9.543333,-0.011348
9.555,0.009039
9.566667,-0.000308
9.578333,-0.039718
9.59,-0.006992
9.601666,0.011979
9.613333,-0.014169
9.625,0.009664
9.636666,-0.002397
9.648334,-0.035886
9.66,-0.015481
9.671666,0.019721
9.683333,-0.019657
9.695,0.01331
9.706667,-0.00381
9.718333,-0.036744
9.73,-0.013349
9.741667,0.016298
9.753333,-0.017042
9.765,0.011391
9.776667,-0.004865
9.788333,-0.030479
9.8,-0.021961
9.811666,0.024737
9.823333,-0.021936
9.835,0.012641
9.846666,0.000518
9.858334,-0.063758
9.87,-0.031136
9.881666,0.0324
9.893333,-0.029069
9.905,0.016234
9.916667,-0.003727
9.928333,-0.050145
9.94,-0.043227
9.951667,0.043368
9.963333,-0.037589
9.974999,0.023442
9.986667,-0.012286
9.998333,-0.036914
10.01,-0.190831
10.021667,0.154084
10.033333,-0.122591
10.045,0.077683
10.056666,-0.038916
10.068334,-0.093734
10.08,-0.015894
10.091666,0.016497
10.103333,-0.011851
10.115,-0.005095
10.126666,0.026405
10.138333,-0.111103
10.15,0.018545
10.161667,-0.011017
10.173333,0.00832
10.184999,-0.01626
10.196667,0.024817
10.208333,-0.091579
10.22,-0.054813
10.231667,0.050038
10.243333,-0.041324
10.255,0.021948
10.266666,-0.007604
10.278334,-0.054267
10.29,-0.172299
10.301666,0.138346
10.313334,-0.10756
10.325,0.065252
10.336666,-0.026504
10.348333,-0.127246
10.36,0.017893
10.371667,-0.013387
10.383333,0.010804
10.395,-0.019032
10.406667,0.027625
10.418333,-0.075312
10.43,-0.007502
10.441667,0.011672
10.453333,-0.007436
10.465,-0.004828
10.476666,0.018983
10.488333,-0.081431
10.5,-0.044204
10.511666,0.038884
10.523334,-0.029519
10.535,0.007497
10.546666,0.01183
10.558333,-0.100685
10.57,-0.014711
10.581667,0.015411
10.593333,-0.010947
10.605,-0.003479
10.616667,0.020378
10.628333,-0.101639
10.639999,-0.002858
10.651667,0.006614
10.663333,-0.005491
10.675,-0.005061
10.686666,0.017641
10.698333,-0.073499
10.71,0.000131
10.721666,0.003975
10.733334,-0.003239
10.745,-0.005069
10.756666,0.015681
10.768333,-0.063472
10.78,-0.003606
10.791667,0.006988
10.803333,-0.005576
10.815,-0.002126
10.826667,0.011903
10.838333,-0.052379
10.849999,-0.007031
10.861667,0.009684
10.873333,-0.008231
10.885,0.000806
10.896667,0.007479
10.908333,-0.043247
10.92,-0.011531
10.931666,0.013166
10.943334,-0.010297
10.955,0.002062
10.966666,0.00744
10.978333,-0.044111
10.99,-0.008933
11.001666,0.010889
11.013333,-0.00898
11.025,0.003357
11.036667,0.002132
11.048333,-0.021889
11.059999,-0.011968
11.071667,0.011522
11.083333,-0.008529
11.095,0.002956
11.106667,0.000624
11.118333,-0.007158
11.13,0.008511
11.141666,-0.008055
11.153334,0.008205
11.165,-0.00267
11.176666,-0.006467
11.188334,0.052738
11.2,0.003566
11.211666,-0.007944
11.223333,0.008934
11.235,-0.002944
11.246667,-0.005055
11.258333,0.044519
11.27,0.008552
11.281667,-0.012086
11.293333,0.012274
11.305,-0.005773
11.316667,-0.002577
11.328333,0.0424
11.34,0.014679
11.351666,-0.017487
11.363333,0.01637
11.375,-0.008824
11.386666,6.3e-05
11.398334,0.038274
11.41,0.019709
11.421666,-0.021493
11.433333,0.019155
11.445,-0.011075
11.456667,0.002131
11.468333,0.034246
11.48,0.025918
11.491667,-0.026392
11.503333,0.022568
11.514999,-0.011582
11.526667,-0.000122
11.538333,0.052364
11.55,0.044492
11.561666,-0.044096
11.573333,0.035785
11.585,-0.017811
11.596666,-0.002991
11.608334,0.094435
11.62,0.01157
11.631666,-0.014568
11.643333,0.014641
11.655,-0.003805
11.666667,-0.007427
11.678333,0.063123
11.69,0.015805
11.701667,-0.019959
11.713333,0.017398
11.724999,-0.007297
11.736667,-0.005882
11.748333,0.062561
11.76,0.026339
11.771667,-0.027023
11.783333,0.02404
11.795,-0.011973
11.806666,0.00055
11.818334,0.050266
11.83,0.028617
11.841666,-0.029527
11.853333,0.024143
11.865,-0.013903
11.876666,0.001849
11.888333,0.035285
11.9,0.014357
11.911667,-0.013851
11.923333,0.011236
11.934999,-0.001824
11.946667,-0.007646
11.958333,0.061427
11.97,0.048699
11.981667,-0.045619
11.993333,0.037817
12.005,-0.017416
12.016666,-0.002712
12.028333,0.097054
12.04,0.007918
12.051666,-0.012761
12.063334,0.012427
12.075,-0.003178
12.086666,-0.010364
12.098333,0.066966
12.11,-0.009009
12.121667,0.003013
12.133333,-0.000294
12.145,0.003854
12.156667,-0.010099
12.168333,0.043871
12.18,0.004749
12.191667,-0.008391
12.203333,0.007162
12.215,0.002258
